# galaxy   type   log(Mbh)          perr                merr               log(sigma)          err                 mag_sph           perr         merr             mag_tot           err  	log(Re_maj)         perr                 merr   
NGC524     S0	  8.91907810236     0.122314592215	0.07398004755     2.40312052118     0.0211892990699	 -23.1900796051     0.177975     0.114466666667	  -24.9247217378     0.25	 -0.167198668005     0.0661586628819     0.113928049325     
NGC821     E	  7.5910645911     0.221848749616	0.113943362263     2.30102999566     0.0211892990699	 -23.9977792871     0.8781     0.660255341786	  -24.2595415345     0.25	 0.616637166363     0.415780714824     0.38899756588     
NGC1023     S0	  7.62324927684     0.0395085416186	0.0434656941866     2.30963016743     0.0211892990699	 -22.8206148939     0.177975     0.114466666667	  -24.2011920373     0.25	 -0.304653946473     0.0661586628819     0.113928049325     
NGC1300     Sp	  7.86332287147     0.28896547802	0.28353924624     2.35983548234     0.0211892990699	 -22.0583517273     0.660240254075     0.579525	  -24.155769911     0.25	 -0.0037022388473     0.324813281979     0.298095403867     
# NGC1316     merger	  8.17609125906     0.176091259056	0.330993226437     2.35410843915     0.0211892990699	 -24.8913647211     0.660240254075     0.579525	  -26.4761354166     0.25	 0.287447484812     0.324813281979     0.298095403867     
NGC1332     E	  9.16136800223     0.0561159419789	0.0644579892269     2.50514997832     0.0211892990699	 -24.8906243152     0.8781     0.660255341786	  -24.9531501204     0.25	 0.574359366993     0.415780714824     0.38899756588     
NGC1374     E	  8.76342799356     0.0359125558906	0.0391521239621     2.22271647115     0.0211892990699	 -23.6832964212     0.177975     0.114466666667	  -23.7010962103     0.25	 0.377909460527     0.0661586628819     0.113928049325     
NGC1399     E	  8.67209784031     0.052178015614	0.0593140063206     2.51719589795     0.0211892990699	 -26.4280086497     0.177975     0.114466666667	  -26.4616821498     0.25	 1.58101516443     0.0661586628819     0.113928049325     
NGC2273     Sp	  6.91907807585     0.0204411619509	0.021451002967     2.16136800223     0.0211892990699	 -23.0002243     0.660240254075     0.579525	  -24.2123958442     0.25	 -0.654782234977     0.324813281979     0.298095403867     
NGC2549     S0	  7.14612803753     0.0579919455332	1.14612780455     2.1583624921     0.0211892990699	 -21.2462255572     0.177975     0.114466666667	  -22.5962807487     0.25	 -0.441717860149     0.0661586628819     0.113928049325     
# NGC2778     S0	  7.17609127631     0.204119982656	0.477121233148     2.20951501454     0.0211892990699	 -20.8000243152     0.660240254075     0.579525	  -22.4384810366     0.25	 -0.59560718053     0.324813281979     0.298095403867     
NGC2787     S0	  7.6020599978     0.0413926836874	0.0579919469777     2.32221929473     0.0211892990699	 -20.1095143006     0.660240254075     0.579525	  -22.2799421003     0.25	 -0.772292641104     0.324813281979     0.298095403867     
NGC2974     Sp	  8.23044893356     0.0483046789735	0.0543576615612     2.35602585719     0.0211892990699	 -22.9510314306     0.660240254075     0.579525	  -24.1638887464     0.25	 -0.0760649704841     0.324813281979     0.298095403867     
