# galaxy  log_mass_sph  +err_log_mass_sph  -err_log_mass_sph  log_mbh  +err_log_mbh  -err_log_mbh  type  core 
n3607   11.1447559533   0.23181   0.26409610163   8.11394333638   0.141329157221   0.21085337527   E   0
n3608   10.7973797304   0.23181   0.26409610163   8.30102999566   0.19033170151   0.154901967382   E   1
n3842   11.7989202012   0.0457866666668   0.07119   9.98677173427   0.11703198669   0.135513385547   E   1
n3998   9.92549113866   0.264102136714   0.35124   8.90848503933   0.0958363508539   0.116093321443   S0   0
n4026   9.63259786674   0.264102136714   0.35124   8.2552724936   0.124938743799   0.0791812517999   S0   0
n4151   10.3593099957   0.23181   0.26409610163   7.81291334071   0.0444191415169   0.0494853652256   S   0
n4261   11.2869914373   0.23181   0.26409610163   8.69897000434   0.0791812460476   0.0969100130081   E   1
n4291   10.6174503652   0.23181   0.26409610163   8.5185139336   0.104735349399   0.615423972495   E   1
n4388   9.5028678471   0.264102136714   0.35124   6.87506128065   0.0114294618683   0.0117384033636   S   0
n4459   10.3916093091   0.23181   0.26409610163   7.83250891727   0.0759761028828   0.0921462183673   S0   0
n4473   10.550832866   0.23181   0.26409610163   8.0791812633   0.124938733912   0.602059905045   E   0
n4564   9.9207557159   0.0457866666668   0.07119   7.77815126764   0.0211892977859   0.0705810742857   S0   0
n4596   10.0898678471   0.0457866666668   0.07119   7.89762710309   0.170558764855   0.234869263527   S0   0
n4697   10.926259707   0.264102136714   0.35124   8.2552724936   0.0457574923582   0.0248235847824   E   0
n4889   12.0157293989   0.0457866666668   0.07119   10.3222192947   0.245982429333   0.623249290398   E   1
n4945   9.38261719758   0.23181   0.26409610163   6.14612804908   0.301029995664   0.301029995665   S   0
n5077   11.1804444364   0.0457866666668   0.07119   8.86923172533   0.213553641566   0.225779039429   E   1
n5128   10.5536971976   0.264102136714   0.35124   7.65321250227   0.13917918013   0.109144474561   merger   0
n5576   10.775433366   0.0457866666668   0.07119   8.20411998913   0.07463362   0.124938736608   E   0
n5845   10.1835710859   0.264102136714   0.35124   8.41497333204   0.0621479097357   0.373580684536   S0   0
n5846   11.3247207363   0.23181   0.26409610163   9.04139268516   0.0377885608894   0.0413926851582   E   1
n6251   11.6978733734   0.0457866666668   0.07119   8.77085201866   0.126775077871   0.179787401016   E   1
n7052   11.5283861631   0.0457866666668   0.07119   8.56820172966   0.231138816503   0.225779039429   E   1
n7619   11.5394417131   0.23181   0.26409610163   9.39794000867   0.120573931206   0.0555173278498   E   1
n7768   11.7594682036   0.23181   0.26409610163   9.11394335231   0.141329152796   0.159700842868   E   1
ugc03789   10.1087407276   0.264102136714   0.35124   7.03342376675   0.0196546870686   0.0205865297638   S   0
