#  RA(J2000)     Dec(J2000)       AORKEY      Observation_start_time   ProgramID  
  12h30m49.42s   +12d23m28.0s	   10483200    2005-06-11       	3228  
  12h30m49.42s   +12d23m28.0s	   12673792    2005-06-11       	3228  
  12h30m49.42s   +12d23m28.0s	   26921984    2008-07-15              50795  
  12h35m39.82s   +12d33m22.6s	   5540352     2004-06-10       	 159  
  12h35m39.82s   +12d33m22.6s	   5540608     2004-05-27       	 159  
  12h50m53.06s   +41d07m13.6s	   5509120     2004-05-24       	 159  
  12h50m53.06s   +41d07m13.6s	   5509376     2004-05-21       	 159  
  10h46m46.90s   +11d49m29.0s	   4444160     2004-05-19       	  69  
  0h47m26.40s	 -25d15m03.6s	   18377728    2006-08-12              30542  
  0h46m47.04s	 -25d06m50.4s	   18377984    2006-08-11              30542  
  0h48m02.64s	 -25d05m24.0s	   18378240    2006-08-12              30542  
  0h46m46.56s	 -25d21m50.4s	   18378496    2006-08-11              30542  
  0h48m03.12s	 -25d24m10.8s	   18378752    2006-08-12              30542  
  1h24m47.72s	 +9d32m19.8s	   26603264    2008-09-18              50630  
  1h24m57.23s	 +9d33m01.5s	   35009024    2009-08-22              60166  
  1h24m57.23s	 +9d33m01.5s	   35009280    2010-02-16              60166  
  2h08m21.14s	 +10d59m41.7s	   14569216    2005-08-21              20371  
  2h40m24.00s	 +39d03m47.8s	   4432640     2004-02-11       	  69  
  3h03m49.11s	 -1d06m13.4s	   12464640    2005-01-16       	3269  
  3h19m48.16s	 +41d30m42.1s	   10483456    2005-02-20       	3228  
  3h19m48.16s	 +41d30m42.1s	   42372864    2011-10-24              80089  
  3h19m40.94s	 -19d24m39.9s	   35388416    2009-10-04              61009  
  3h19m41.90s	 -19d24m52.2s	   37317376    2009-09-05              61065  
  10h48m23.46s   -25d09m43.4s	   38703104    2010-02-06              61009  
  10h51m16.23s   +27d58m30.0s	   26603520    2009-01-29              50630  
  10h51m15.80s   +27d50m55.4s	   31016448    2011-02-11              61063  
  11h00m18.10s   +13d54m08.0s	   4448000     2004-05-19       	  69  
  11h13m17.11s   -26d45m18.0s	   18033152    2006-07-08              30318  
  11h16m54.00s   +18d03m11.0s	   4449536     2004-05-18       	  69  
  11h16m58.96s   +18d08m54.9s	   18033408    2006-12-27              30318  
  11h43m49.11s   +19d58m06.2s	   21990656    2009-02-02              40301  
  11h43m48.62s   +19d58m12.1s	   35415296    2010-02-22              61009  
  11h44m30.00s   +19d50m00.0s	   3858688     2005-06-13       	  25  
  11h56m50.09s   +55d23m14.7s	   42242560    2012-06-15              80025  
  11h56m50.09s   +55d23m14.7s	   42242816    2012-06-16              80025  
  11h57m56.00s   +55d27m11.0s	   4452608     2004-04-21       	  69  
  11h59m25.19s   +50d57m42.1s	   18034176    2006-12-26              30318  
  11h59m25.19s   +50d57m42.1s	   42247168    2012-03-09              80025  
  11h59m25.19s   +50d57m42.1s	   42247424    2012-03-09              80025  
  11h59m25.19s   +50d57m42.1s	   45629952    2013-03-11              80025  
  11h59m25.19s   +50d57m42.1s	   45630208    2013-03-11              80025  
  12h10m32.58s   +39d24m20.6s	   12463872    2004-12-17       	3269  
