# galaxy   distance [Mpc]   log_r_e [log(kpc)]   perr_log_r_e   merr_log_r_e   mu_e [mag/arcsec^2]   perr_mu_e   merr_mu_e   log_n   perr_log_n   merr_log_n 
n3393     55.2     -0.422835942349     0.324813281979     0.298095403867     -19.5608953886     1.58716133752     0.835875363549     0.421291253919     0.16658159909     0.206353027617
n3414     24.5     0.480936965933     0.0661586628819     0.113928049325     -13.8641304218     0.565617107022     0.338344889058     0.65729493598     0.0560640025682     0.078207140205
n3489     11.7     -1.00349912682     0.324813281979     0.298095403867     -17.0926293087     1.58716133752     0.835875363549     0.115776876159     0.16658159909     0.206353027617
n3585     19.5     0.911597124332     0.324813281979     0.298095403867     -12.2055730568     1.58716133752     0.835875363549     0.802185148285     0.16658159909     0.206353027617
n3607     22.2     0.848448193545     0.324813281979     0.298095403867     -12.7202648723     1.58716133752     0.835875363549     0.744895100221     0.16658159909     0.206353027617
n3608     22.3     0.671095186879     0.324813281979     0.298095403867     -12.7373243152     1.58716133752     0.835875363549     0.75394290696     0.16658159909     0.206353027617
n3842     98.4     1.54568256558     0.0661586628819     0.113928049325     -13.8953754922     0.565617107022     0.338344889058     0.914295546101     0.0560640025682     0.078207140205
n3998     13.7     -0.492321156219     0.415780714824     0.38899756588     -16.0565028358     1.73878794265     1.0617725411     0.127266818319     0.246991455494     0.245264323949
n4026     13.2     -0.391412730921     0.415780714824     0.38899756588     -14.510569656     1.73878794265     1.0617725411     0.326929537044     0.246991455494     0.245264323949
n4151     20.0     -0.182242316729     0.324813281979     0.298095403867     -16.2472499783     1.58716133752     0.835875363549     0.272282644291     0.16658159909     0.206353027617
n4261     30.8     0.848929793781     0.324813281979     0.298095403867     -13.9139535825     1.58716133752     0.835875363549     0.638209621074     0.16658159909     0.206353027617
n4291     25.5     0.278390322519     0.324813281979     0.298095403867     -14.5250009022     1.58716133752     0.835875363549     0.768053222679     0.16658159909     0.206353027617
n4388     17.0     -0.457687182503     0.415780714824     0.38899756588     -15.2963446069     1.73878794265     1.0617725411     0.126456113432     0.246991455494     0.245264323949
n4459     15.7     -0.00520060308834     0.324813281979     0.298095403867     -14.749198262     1.58716133752     0.835875363549     0.415824398889     0.16658159909     0.206353027617
n4473     15.3     0.437389162963     0.324813281979     0.298095403867     -12.8233571541     1.58716133752     0.835875363549     0.462068408087     0.16658159909     0.206353027617
n4564     14.6     -0.370728356355     0.0661586628819     0.113928049325     -15.1725642789     0.565617107022     0.338344889058     0.474274554726     0.0560640025682     0.078207140205
n4596     17.0     -0.129212861423     0.0661586628819     0.113928049325     -14.7135446069     0.565617107022     0.338344889058     0.478234515815     0.0560640025682     0.078207140205
n4697     11.4     1.0973264066     0.415780714824     0.38899756588     -9.38592425668     1.73878794265     1.0617725411     0.823813185647     0.246991455494     0.245264323949
n4889     103.2     1.4834830284     0.0661586628819     0.113928049325     -14.9533984865     0.565617107022     0.338344889058     0.831428219708     0.0560640025682     0.078207140205
n4945     3.8     -0.758007318407     0.324813281979     0.298095403867     -13.1239179831     1.58716133752     0.835875363549     0.232437009221     0.16658159909     0.206353027617
n5077     41.2     0.661680343055     0.0661586628819     0.113928049325     -15.0691860802     0.565617107022     0.338344889058     0.75876054391     0.0560640025682     0.078207140205
n5128     3.8     0.0491341641638     0.415780714824     0.38899756588     -11.8892179831     1.73878794265     1.0617725411     0.341790519893     0.246991455494     0.245264323949
n5576     24.8     0.773106848504     0.0661586628819     0.113928049325     -12.6303584041     0.565617107022     0.338344889058     0.566343198218     0.0560640025682     0.078207140205
n5845     25.2     -0.41547299333     0.415780714824     0.38899756588     -17.3631027039     1.73878794265     1.0617725411     0.369030221809     0.246991455494     0.245264323949
n5846     24.2     0.990663541974     0.324813281979     0.298095403867     -12.6354768299     1.58716133752     0.835875363549     0.753843404342     0.16658159909     0.206353027617
n6251     104.6     1.18430311025     0.0661586628819     0.113928049325     -15.7877584227     0.565617107022     0.338344889058     0.746470724014     0.0560640025682     0.078207140205
n7052     66.4     1.07588362999     0.0661586628819     0.113928049325     -14.9217403968     0.565617107022     0.338344889058     0.744472923734     0.0560640025682     0.078207140205
n7619     51.52     1.16087387238     0.324813281979     0.298095403867     -14.0093792718     1.58716133752     0.835875363549     0.714983224819     0.16658159909     0.206353027617
n7768     112.8     1.36228880278     0.324813281979     0.298095403867     -15.1149454982     1.58716133752     0.835875363549     0.828898242037     0.16658159909     0.206353027617
ugc03789     48.4     -0.250346793364     0.415780714824     0.38899756588     -18.0320268082     1.73878794265     1.0617725411     0.139186180416     0.246991455494     0.245264323949
