# galaxy re_maj_gaussian_comb mue_maj_gaussian_comb n_maj_gaussian_comb msph_maj_gaussian_comb mtot_maj_gaussian_comb re_maj_gaussian_log mue_maj_gaussian_log n_maj_gaussian_log msph_maj_gaussian_log mtot_maj_gaussian_log re_maj_moffat_comb mue_maj_moffat_comb n_maj_moffat_comb msph_maj_moffat_comb mtot_maj_moffat_comb re_maj_moffat_log mue_maj_moffat_log n_maj_moffat_log msph_maj_moffat_log mtot_maj_moffat_log re_eq_gaussian_comb mue_eq_gaussian_comb n_eq_gaussian_comb msph_eq_gaussian_comb mtot_eq_gaussian_comb re_eq_gaussian_log mue_eq_gaussian_log n_eq_gaussian_log msph_eq_gaussian_log mtot_eq_gaussian_log re_eq_moffat_comb mue_eq_moffat_comb n_eq_moffat_comb msph_eq_moffat_comb mtot_eq_moffat_comb re_eq_moffat_log mue_eq_moffat_log n_eq_moffat_log msph_eq_moffat_log mtot_eq_moffat_log
n1023 8.9622 14.8952 2.0356 7.0931 5.14776959538 12.8785 15.5315 2.3549 6.8681 5.15989047562 9.214 14.9575 2.1361 7.0707 5.14826208056 16.7991 15.9811 2.7675 6.6578 5.15821124061 7.1512 14.7145 1.8794 7.4428 6.02637859106 8.7321 15.1186 2.0888 7.3599 6.03093816487 7.4311 14.7911 1.9947 7.406 6.02542285667 8.7451 15.1926 2.2043 7.4033 6.03490686853 
n1300 11.8678 17.9511 4.0811 9.1803 6.325188318 15.6303 18.5239 4.4739 9.1069 6.4331732215 9.8799 17.6167 3.8139 9.2794 6.40630470899 25.6269 19.4271 5.749 8.8041 6.32846458726 8.9413 17.5647 3.6294 9.4701 7.34392284702 14.7716 18.6065 4.8055 9.2745 7.58630160095 8.1409 17.4075 3.595 9.5215 7.42408181627 10.3378 18.0152 4.3284 9.5133 7.68198353067 
n1316 20.9474 15.517 2.0361 5.8711 4.36183465263 24.8356 15.813 2.4141 5.7109 4.36505869067 21.4961 15.5536 2.0473 5.8488 4.36223249486 23.6716 15.7347 2.3071 5.7599 4.36737710417 15.836 15.4219 1.7822 6.4504 4.87081485181 17.9133 15.649 2.1499 6.3154 4.87649496309 15.8672 15.4286 1.7705 6.4562 4.87142930446 17.9863 15.6676 2.144 6.3265 4.87902188479 
n1332 34.4812 17.4384 5.2602 6.218 5.8402350583 34.0454 17.3806 4.8368 6.2321 5.86112542121 34.712 17.4405 5.0921 6.2228 5.84750827403 36.3453 17.4792 4.6857 6.2054 5.85951794191 17.8051 16.4506 3.7514 6.8431 6.77863921613 19.5815 16.6097 3.8005 6.7889 6.75916584754 17.9837 16.4692 3.6733 6.8509 6.78837419487 19.9918 16.6427 3.5537 6.8118 6.78705852268 
n1374 25.4867 18.0449 3.7574 7.6576 7.63760168704 25.9487 18.0792 3.6558 7.6673 7.6562048889 25.6068 18.0557 3.7216 7.6633 7.6411252151 26.1319 18.0874 3.4278 7.6938 7.67919436957 24.6506 18.0928 4.125 7.7292 7.71449876445 25.0938 18.1234 3.8625 7.7555 7.70422003614 24.8038 18.1072 4.0743 7.7366 7.7188002109 25.3665 18.1438 3.6679 7.7794 7.76466376702 
n1399 405.101 21.796 10.0006 4.8838 4.83757942702 392.8803 21.7385 10.0025 4.8927 4.84907303811 405.1712 21.7965 10.0021 4.8837 4.83818747545 393.7256 21.743 10.0051 4.8923 4.849995429 341.2736 21.5485 10.0027 5.0084 4.9737682332 343.8416 21.5598 9.9924 5.004 4.97089781525 338.0863 21.5308 10.0049 5.011 4.9773264999 354.3586 21.6166 10.0001 4.9949 4.96250672036 
n2273 1.781 13.5634 2.0286 9.2717 7.65373038183 1.917 13.9071 2.4843 9.3525 7.66180515895 1.6025 13.3628 2.1168 9.2789 7.65010139534 1.5047 13.5281 3.037 9.396 7.68312602389 2.0162 13.9419 2.3443 9.3074 8.07131811516 2.0913 14.2971 2.312 9.5904 8.10171813207 1.8751 13.8315 2.7435 9.274 8.06182845581 3.2303 15.2617 5.3361 9.1754 8.09549461999 
n2549 6.0788 15.5466 2.1503 8.5597 6.84242817984 6.6037 16.2051 3.1544 8.8416 6.90773933668 6.0646 15.5709 2.2624 8.5632 6.84050346144 6.5389 16.2601 3.4514 8.8712 6.91281258573 3.3165 14.6386 1.4979 9.1481 7.84909404122 3.6787 15.3645 2.4547 9.4007 7.88274736239 3.1004 14.5424 1.4824 9.2033 7.85324480852 4.4257 15.6407 2.8994 9.1898 7.88392767835 
n2778 2.2943 15.4108 1.6495 10.6728 9.06049950014 1.967 15.6319 2.0252 11.1253 9.09751322531 2.347 15.6069 1.2636 10.95 9.07086034272 1.8564 15.5116 2.2074 11.0871 9.10835477165 2.3332 15.5028 1.2249 10.8737 9.30055577083 2.2122 16.0071 2.7504 11.0893 9.32645347304 2.2166 15.4639 1.237 10.9415 9.30304327865 1.5263 15.3885 3.7573 11.1146 9.32862459957 
n2787 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 
n2974 8.1787 15.6175 1.4523 8.1822 6.96899744366 8.5551 15.6795 1.3986 8.1649 6.98138867477 8.2835 15.6433 1.4271 8.1889 6.97070583426 8.6598 15.7309 1.3858 8.1944 6.98767035541 6.8374 15.5922 1.2387 8.623 7.4347291242 7.0771 15.7551 1.496 8.6194 7.45474163685 6.9155 15.6274 1.1979 8.6497 7.43684268419 7.4632 15.813 1.397 8.5955 7.46698421492 
n3079 6.7598 14.4385 1.3116 7.4665 5.78645211426 7.3882 14.646 1.8724 7.3053 5.79580144551 6.8074 14.4653 1.2777 7.4907 5.78850509989 7.6241 14.7356 1.803 7.3456 5.80163453921 4.1481 14.3313 1.1931 8.4654 7.12507549083 4.8452 14.6517 1.985 8.1978 7.13754275898 4.3323 14.4783 1.0773 8.5665 7.13072799893 5.2689 14.9182 2.3861 8.1888 7.15131211908 
n3091 99.0142 20.3987 7.5752 6.6941 6.69408899192 101.8313 20.4465 7.717 6.6711 6.67106986989 100.47 20.4283 7.6171 6.6891 6.68908135222 102.5602 20.4575 7.5589 6.6776 6.67762197069 51.7426 19.4874 6.7377 7.2544 7.2543626833 64.5671 19.9135 7.3633 7.1525 7.15249041278 51.2139 19.4662 6.5917 7.2672 7.26715533301 58.1167 19.6915 6.4465 7.2297 7.22972811509 
n3115 43.4787 16.6565 4.3747 5.0298 4.57201119374 48.5882 16.7076 3.9652 4.8911 4.56518374937 43.5862 16.6703 4.3995 5.0352 4.57284470418 50.9227 16.8671 4.1681 4.9226 4.56258300587 34.3796 16.8225 4.9558 5.6399 5.47233534195 41.4062 17.132 4.6341 5.581 5.4676535119 34.4457 16.8491 5.0937 5.6479 5.4696676171 43.0122 17.3278 5.0195 5.652 5.46819008001 
n3227 7.2351 16.3123 2.0742 8.9655 6.60413543241 5.7669 15.8967 4.2306 8.6742 6.59840799001 8.0694 16.5587 1.7168 9.0698 6.6067327462 8.758 16.7935 1.7501 9.1173 6.63760615817 3.5489 15.122 1.6495 9.4368 7.2661902672 3.5701 15.2098 1.7423 9.4844 6.82245842574 4.607 15.8266 1.0971 9.7728 7.27510440798 5.299 16.2718 0.8697 10.0218 7.26497161446 
n3245 4.6408 15.0 2.7147 8.4801 7.01435651703 3.7416 15.229 3.5859 9.0325 6.98879413401 4.4474 14.9569 2.8632 8.5019 7.01667578899 3.4721 15.2668 4.8126 9.0783 7.01736731933 2.8222 14.2242 1.8238 8.9864 7.6460976612 6.6614 16.078 4.2251 8.5431 7.61100344786 2.4495 13.9993 1.6927 9.1063 7.65646075264 5.0562 15.7963 4.8615 8.7863 7.65046773666 
n3377 57.0594 18.9615 7.2307 6.4785 6.31794090048 148.9943 21.1742 10.1915 6.4237 6.1393964057 61.8324 19.1561 7.7194 6.4639 6.29480480116 81.9511 19.7626 7.6107 6.4662 6.25634969784 88.4815 20.2552 8.9412 6.7064 6.63205245333 112.9041 20.7869 9.9362 6.6524 6.58189693589 91.725 20.3333 9.1727 6.6926 6.61906143361 108.7695 20.7493 9.992 6.6928 6.61787471696 
n3384 5.4184 14.1807 1.5696 7.6012 5.93104459053 5.8433 14.3518 1.3859 7.6695 5.9537252714 5.468 14.2127 1.5533 7.6186 5.93544284145 5.9603 14.4264 1.3649 7.7084 5.96185626521 5.642 14.5375 1.7502 7.8161 6.51831651702 5.9964 14.6817 1.5797 7.8789 6.54138952139 5.6459 14.5644 1.7805 7.833 6.52218365463 6.0512 14.7613 1.5908 7.9353 6.55290458169 
n3393 1.6036 14.3812 3.1918 10.085 8.02107104554 1.3946 14.4613 7.3677 10.0278 8.01752995004 1.3517 14.032 3.3737 10.0781 8.01665910515 0.4892 12.1952 7.6589 10.0156 8.00027342751 1.5758 14.3753 2.5766 10.2276 8.41770906232 1.158 14.1383 6.7265 10.1568 8.40977180231 1.4114 14.1488 2.6381 10.2282 8.41513875687 0.6729 12.974 8.1465 10.0694 8.39190873149 
n3414 27.938 18.1034 4.9681 7.3701 7.25873265599 27.9628 18.0045 3.9307 7.3924 7.26407775204 27.9631 18.1001 4.8492 7.3776 7.27171565274 27.7642 18.1005 4.0958 7.4823 7.29311987819 25.3023 18.0805 4.7988 7.5807 7.51748851728 26.1435 18.0834 3.9882 7.6097 7.47184131587 25.4798 18.0817 4.5425 7.5955 7.52994838576 26.4224 18.0999 3.6991 7.6425 7.58907059292 
n3489 2.306 13.569 1.4358 8.8884 6.72914900167 2.4081 14.0103 2.2961 9.0008 6.74983029896 2.1515 13.4671 1.4719 8.9248 6.73126627874 1.8953 13.6384 2.248 9.1595 6.7614417989 1.8648 13.3747 1.3491 9.1856 7.26772828962 1.4658 13.4347 3.1554 9.3396 7.29121805185 1.7488 13.2483 1.3055 9.2146 7.27051091417 1.1988 13.0281 3.0499 9.3871 7.30482756174 
n3585 104.4617 19.1198 5.1353 5.5052 5.41222270356 176.2499 20.173 6.2307 5.3202 5.21625362563 104.9658 19.1306 5.1981 5.4991 5.408566981 246.1232 20.8284 7.0354 5.1859 5.08440536846 84.3175 19.1945 6.1213 5.9522 5.91038264214 137.776 20.1884 7.1535 5.797 5.74022470067 86.2954 19.2446 6.3414 5.9332 5.89640401456 120.4776 19.9315 6.945 5.8471 5.79725843191 
n3607 67.0065 18.9234 5.277 6.2586 6.13969790495 61.1594 18.7163 4.4526 6.3394 6.20882017397 69.2786 18.9967 5.468 6.2407 6.12489557359 65.7253 18.8739 4.7538 6.3061 6.18040310109 64.215 18.9666 5.3804 6.384 6.29782811384 60.5675 18.8321 4.6309 6.4555 6.35740529122 65.5421 19.0115 5.5577 6.3673 6.2862338109 64.4518 18.9681 4.9473 6.4218 6.33126944702 
n3608 47.1449 18.9192 5.1312 7.0326 7.03263080184 46.5597 18.8944 4.7517 7.0754 7.07542529604 47.4658 18.9348 5.1881 7.0277 7.02767405942 48.0911 18.9642 4.8224 7.0672 7.06718688636 43.0531 18.987 5.6132 7.2501 7.25007803393 42.5744 18.9582 5.0456 7.302 7.30195900613 43.3726 19.0042 5.6747 7.2455 7.24549374829 46.9752 19.168 5.3191 7.2703 7.27028016078 
